,Unnamed: 0,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,L1,L2,Linf,Sparsity,MAD,Mahalanobis,Neighbour_Distance
0,0,0.5205479452054793,0.0,0.0,0.1428571428571428,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5222874,0.018686136,0.0027309735,0.1461348,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.126984,1868.595,11.896121,15.321209,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,0.02643422143737786,0.019245743274721866,0.018686136,8,0.267539704492916,0.001555889003224676,0.019245743274721862
1,0,0.6575342465753424,0.0,0.0,0.1938775510204081,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6582178,0.0073423027,0.0010730757,0.19516543,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.0499,734.2229,4.674318,20.126211,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,0.010386810804249436,0.007562193990291012,0.0073423027,8,0.10512390213590184,0.0006113560923258003,0.007562193990291008
2,0,0.1643835616438356,0.0,0.0,0.3979591836734693,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.2730317,1.0,0.17057298,0.6026765,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,36.931316,99999.0,743.0159,60.062298,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,1.483938434682695,1.0405809622889886,1.0,8,14.597407861942527,0.08597633207466192,1.0405809622889886
3,0,0.4931506849315069,0.0,0.0,0.3979591836734693,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.44112068,0.0,0.0,0.29992312,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,49.20181,0.0,0.0,30.392466,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.5739977359771729,Y,Y,>50K,>50K,<=50K,0.15006606860497618,0.11098734699848067,0.09803606367346929,10,0.4015992777687636,0.016235866448333303,0.101083341307813
4,0,0.2054794520547945,0.0,0.0,0.3979591836734693,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.22643374,0.2250933,0.03289733,0.4374417,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,33.529663,22509.105,143.30077,43.869286,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,0.3184274342717362,0.23183437903983148,0.2250933,8,3.2227856416932075,0.018742286605113158,0.23183437903983145
5,0,0.2876712328767123,0.0,0.0,0.4795918367346938,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.46703768,1.0,0.28159764,0.81755817,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,51.09375,99999.0,1226.6393,81.1207,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,1.7989304203885939,1.1071092067307529,1.0,8,15.869581631990753,0.10120768454342861,1.0520192837463378
6,0,0.2054794520547945,0.0,0.0,0.4285714285714285,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.1793552,0.0,0.0,0.37934735,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,30.09293,0.0,0.0,38.17604,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.5739977359771729,Y,Y,>50K,>50K,<=50K,0.07534833062622298,0.055726891682818615,0.049224078571428465,10,0.20164352794934048,0.0081520441890421,0.018655318346653342
7,0,0.2465753424657534,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.25517613,0.09239073,0.013502883,0.41416496,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.627857,9238.98,58.818558,41.588165,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,0.13070017686077734,0.09515763538360643,0.09239073,8,1.322809222980846,0.007692868261537484,0.09515763538360641
8,0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.61757046,1.0,0.21684003,0.76024586,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,62.082645,99999.0,944.5552,75.5041,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,1.6152042952054795,1.0648118144132537,1.0,8,15.127557843827116,0.09180240282829248,1.0648118144132537
9,0,0.2602739726027397,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.2665006,0.066887096,0.009775532,0.4096915,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.454544,6688.6426,42.58222,41.14977,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0.5739977359771729,Y,Y,<=50K,<=50K,>50K,0.09462157172379097,0.06889022261777306,0.066887096,8,0.9576595862989933,0.005569321387371607,0.03645397038393716
