,Unnamed: 0,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,L1,L2,Linf,Sparsity,MAD,Mahalanobis,Neighbour_Distance
0,0,0.5205479452054793,0.0,0.0,0.1428571428571428,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5340161,0.013468152,0.013468152,0.15632531,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.983173,1346.8018,58.66727,16.31988,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.053872625937377884,0.02693631296869185,0.013468167142857201,8,0.3238658045998802,0.0036753953371287985,0.026936312968691836
1,0,0.6575342465753424,0.0,0.0,0.1938775510204081,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6642353,0.010051585,0.010051585,0.20392913,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.489174,1005.14844,43.784702,20.985054,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.03685580240424943,0.018654947842530627,0.010051585,8,0.23624343086162888,0.002305630437063088,0.01865494784253061
2,0,0.1643835616438356,0.0,0.0,0.3979591836734693,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.26452827,0.10014471,0.09928522,0.4981039,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,36.310566,10014.37,432.48642,49.814182,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.3997193546826951,0.19986106341980428,0.10014471632653071,8,2.402535486346212,0.027297698705126886,0.19986106341980425
3,0,0.4931506849315069,0.0,0.0,0.3979591836734693,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.45401105,0.0,0.0,0.35881954,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.142807,0.0,0.0,36.164314,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.096978425979614,Y,Y,>50K,>50K,<=50K,0.07827927860497613,0.05535180872796999,0.03913964367346928,10,0.1902912009792661,0.009097486414368557,0.04086312603661213
4,0,0.2054794520547945,0.0,0.0,0.3979591836734693,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.2513178,0.05718419,0.05718419,0.45514336,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,35.3462,5718.362,249.09433,45.60405,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.21739090427173619,0.10913866105281701,0.05718419,8,1.3565903413983975,0.014068640547087527,0.10913866105281698
5,0,0.2876712328767123,0.0,0.0,0.4795918367346938,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.39784065,0.11016942,0.11016942,0.58976126,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,46.042366,11016.832,479.89798,58.796604,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.4406776803885939,0.22033884019429698,0.11016942326530615,8,2.6492203263997762,0.03006470459357131,0.22033884019429695
6,0,0.2054794520547945,0.0,0.0,0.4285714285714285,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.18884853,0.0,0.0,0.4119405,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,30.785942,0.0,0.0,41.370167,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,4.096978425979614,Y,Y,>50K,>50K,<=50K,0.03326185062622303,0.023519680132616766,0.016630928571428505,10,0.08085712835765285,0.003865636354825596,0.012538676175106464
7,0,0.2465753424657534,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.28967765,0.043102287,0.043102287,0.44106147,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,38.146465,4310.1855,187.75356,44.224022,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.17240916786077734,0.08620458393039054,0.0431023075342466,8,1.036471445818112,0.011762409647543721,0.07885503339507031
8,0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.58428663,0.10483456,0.10483456,0.56988966,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,59.652924,10483.351,456.65933,56.849186,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.38439335520547946,0.1945647004834539,0.10483457520547951,8,2.4080336470571413,0.02645187757448829,0.1945647004834539
9,0,0.2602739726027397,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.29431868,0.034044694,0.034044694,0.4320039,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,38.485264,3404.4353,148.29869,43.33638,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,4.096978425979614,Y,Y,<=50K,<=50K,>50K,0.136178811723791,0.06808940586189814,0.03404471632653072,8,0.8186655199386587,0.009290636666718812,0.052272378566259714
