,Unnamed: 0,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,L1,L2,Linf,Sparsity,Realistic,MAD,Mahalanobis,Neighbour_Distance
0,0,0.5205479452054793,0.0,0.0,0.1428571428571428,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.5124278,0.0002932725,1.0846965e-05,0.14265628,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,54.40723,29.326956,0.04724938,14.980315,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.008625127527622121,0.008127929038897568,0.008120145205479323,64,True,0.017672005718711477,0.0015176276374913884,0.00812792903889757
1,0,0.6575342465753424,0.0,0.0,0.1938775510204081,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.6556677,0.0480766,0.0019084428,0.19394086,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,64.86375,4807.612,8.313177,20.006205,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.051914898354934354,0.04815069704195041,0.0480766,64,True,0.6235617530589384,0.0035390606723686787,0.04815069704195041
2,0,0.1643835616438356,0.0,0.0,0.3979591836734693,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.16407806,0.08297548,0.0028751493,0.39751652,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,28.9777,8297.465,12.52415,39.95662,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.08659879461730491,0.08302701998211116,0.08297548,64,True,1.0697885721052967,0.00611686965935984,0.08302701998211116
3,0,0.4931506849315069,0.0,0.0,0.3979591836734693,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.5041687,0.01557462,0.00064397283,0.40097666,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,53.804314,1557.4464,2.8051457,40.29571,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.0334160327911377,Y,Y,>50K,>50K,<=50K,0.030254084225023858,0.01932576799459451,0.01557462,64,True,0.22884099793392038,0.002503214492923326,0.019325767994594505
4,0,0.2054794520547945,0.0,0.0,0.3979591836734693,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.20516948,0.073731504,8.651283e-05,0.3996842,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,31.977371,7373.0767,0.3768499,40.169052,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.07585300521132524,0.07375238254167334,0.073731504,64,True,0.9388248866125122,0.005462109941638955,0.07375238254167334
5,0,0.2876712328767123,0.0,0.0,0.4795918367346938,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.287784,0.08352995,0.0034425443,0.47855765,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,38.008232,8352.911,14.995723,47.898647,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.08811944815798148,0.08360733171729783,0.08352995,64,True,1.082107339888724,0.006159636431347269,0.08360733171729783
6,0,0.2054794520547945,0.0,0.0,0.4285714285714285,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.21826735,0.33644208,0.02474546,0.4280568,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,32.933517,33643.87,107.79123,42.949566,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,3.0334160327911377,Y,Y,>50K,>50K,<=50K,0.37449006651663397,0.3375935517182778,0.33644208,64,True,4.43800981075248,0.025185713055989916,0.18943148216621894
7,0,0.2465753424657534,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.24559489,0.06030224,0.0,0.3957833,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,34.92843,6030.1636,0.0,39.786762,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.06345857613922268,0.06034944826438492,0.06030224,64,True,0.7710243053680179,0.004430738412690546,0.06034944826438492
8,0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.49272177,0.7873478,0.0,0.5038804,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,52.96869,78733.99,0.0,50.380276,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,3.0334160327911377,Y,Y,<=50K,<=50K,>50K,0.8044979152054795,0.787469174641544,0.7873478,64,True,9.988540868988604,0.058435093149491524,0.787469174641544
9,0,0.2602739726027397,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K,0.30213076,0.40727252,0.014754677,0.36522642,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,39.055546,40726.844,64.27138,36.792187,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,3.0334160327911377,N,N,<=50K,>50K,<=50K,0.4966167480707296,0.4109890880661522,0.40727252,64,True,5.419655388501779,0.031550694295880186,0.33985608049396565
