,Unnamed: 0,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,L1,L2,Linf,Sparsity,Realistic,MAD,Mahalanobis,Neighbour_Distance
0,0,0.5205479452054793,0.0,0.0,0.1428571428571428,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,0.52196187,0.02221955,0.0033086045,0.14643964,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,55.103218,2221.9329,14.412281,15.351085,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.030524576437377954,0.02279229551938683,0.02221955,64,True,0.3164451173913533,0.001803486766610681,0.022792295519386826
1,0,0.6575342465753424,0.0,0.0,0.1938775510204081,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,0.658305,0.008692715,0.0012643225,0.19557603,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,65.05627,869.2628,5.507389,20.16645,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.01242626990424951,0.0089800165445821,0.008692715,64,True,0.12491697276650868,0.0007296754028100549,0.008980016544582095
2,0,0.1643835616438356,0.0,0.0,0.3979591836734693,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,0.18248016,0.2397413,0.03321616,0.4421511,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,30.321053,23973.89,144.68959,44.330807,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.3352459746826951,0.24669741902077336,0.2397413,64,True,3.4206188464161675,0.019807540819870288,0.24669741902077336
3,0,0.4931506849315069,0.0,0.0,0.3979591836734693,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.43545493,0.0,0.0,0.28976324,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,48.788208,0.0,0.0,29.396797,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,3.8956689834594727,Y,Y,>50K,>50K,<=50K,0.16589169860497616,0.12261795286379984,0.1081959436734693,64,True,0.4436650221405257,0.017951793195282357,0.11093429366889321
4,0,0.2054794520547945,0.0,0.0,0.3979591836734693,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,0.21826315,0.13877234,0.017987713,0.42075953,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,32.93321,13877.095,78.35448,42.234432,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.19234409727173618,0.14235378074996802,0.13877234,64,True,1.9666755564710376,0.011446811345457431,0.14235378074996802
5,0,0.2876712328767123,0.0,0.0,0.4795918367346938,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,0.32069746,0.2694103,0.03485907,0.52464175,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,40.41091,26940.762,151.8461,52.41489,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.3823455103885939,0.2773396669619503,0.2694103,64,True,3.833591898385751,0.02276877601520052,0.2773396669619502
6,0,0.2054794520547945,0.0,0.0,0.4285714285714285,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.17687066,0.0,0.0,0.37289026,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,29.911558,0.0,0.0,37.543247,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,3.8956689834594727,Y,Y,>50K,>50K,<=50K,0.08428996062622301,0.06260076290520997,0.05568116857142852,64,True,0.22655756730079102,0.009107737185961183,0.025098182073651745
7,0,0.2465753424657534,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,0.25606608,0.08688331,0.013126009,0.41528752,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35.692825,8688.244,57.176895,41.698177,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.1268283928607773,0.09006301686937598,0.08688331,64,True,1.2557922603222202,0.007422957078277508,0.09006301686937597
8,0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.5167728,0.25333643,0.030952722,0.5505675,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,54.724415,25333.389,134.83006,54.955616,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.3721773972054795,0.2628446838787053,0.25333643,64,True,3.6296469254903565,0.022213750310208967,0.2628446838787053
9,0,0.2602739726027397,0.0,0.0,0.3979591836734693,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,0.26856655,0.07049681,0.011307051,0.41149545,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,36.60536,7049.611,49.253517,41.326553,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,3.8956689834594727,Y,Y,<=50K,<=50K,>50K,0.103632704723791,0.07314128087779856,0.07049681,64,True,1.0225139603606772,0.006046197303158597,0.040323582383684324
