Dataset,Attack,Model,Metric,Value
german,deepfool,lr,eval_L1,1.5837059
german,deepfool,lr,eval_L2,0.64351577
german,deepfool,lr,eval_Linf,0.3363958
german,deepfool,lr,eval_MAD,1.2682015
german,deepfool,lr,eval_Mahalanobis,0.21088015
german,deepfool,lr,eval_Sparsity,4.6458335
german,deepfool,lr,eval_Perturbation_Sensitivity,2.7335622
german,deepfool,lr,eval_Neighbour_Distance,0.6188155
german,deepfool,svc,eval_L1,0.7559606
german,deepfool,svc,eval_L2,0.41281167
german,deepfool,svc,eval_Linf,0.30266467
german,deepfool,svc,eval_MAD,1.072134
german,deepfool,svc,eval_Mahalanobis,0.08593403
german,deepfool,svc,eval_Sparsity,4.3125
german,deepfool,svc,eval_Perturbation_Sensitivity,3.0056705
german,deepfool,svc,eval_Neighbour_Distance,0.41281167
german,deepfool,nn_2,eval_L1,4.0821905
german,deepfool,nn_2,eval_L2,1.1268703
german,deepfool,nn_2,eval_Linf,0.41695893
german,deepfool,nn_2,eval_MAD,1.3936338
german,deepfool,nn_2,eval_Mahalanobis,0.472154
german,deepfool,nn_2,eval_Sparsity,6.0
german,deepfool,nn_2,eval_Perturbation_Sensitivity,2.6484532
german,deepfool,nn_2,eval_Neighbour_Distance,1.0040445
german,carlini_l_2,lr,eval_L1,1.1802146
german,carlini_l_2,lr,eval_L2,0.62341446
german,carlini_l_2,lr,eval_Linf,0.4146475
german,carlini_l_2,lr,eval_MAD,1.3875433
german,carlini_l_2,lr,eval_Mahalanobis,0.15397355
german,carlini_l_2,lr,eval_Sparsity,5.0104165
german,carlini_l_2,lr,eval_Perturbation_Sensitivity,2.6634195
german,carlini_l_2,lr,eval_Neighbour_Distance,0.62111586
german,carlini_l_2,svc,eval_L1,0.00019500802
german,carlini_l_2,svc,eval_L2,0.00010318252
german,carlini_l_2,svc,eval_Linf,6.701346e-05
german,carlini_l_2,svc,eval_MAD,0.00024342864
german,carlini_l_2,svc,eval_Mahalanobis,2.3209679e-05
german,carlini_l_2,svc,eval_Sparsity,3.6927083
german,carlini_l_2,svc,eval_Perturbation_Sensitivity,2.9242146
german,carlini_l_2,svc,eval_Neighbour_Distance,0.00010318252
german,carlini_l_2,nn_2,eval_L1,0.7037491
german,carlini_l_2,nn_2,eval_L2,0.43960902
german,carlini_l_2,nn_2,eval_Linf,0.3568764
german,carlini_l_2,nn_2,eval_MAD,0.8830018
german,carlini_l_2,nn_2,eval_Mahalanobis,0.099910475
german,carlini_l_2,nn_2,eval_Sparsity,4.734375
german,carlini_l_2,nn_2,eval_Perturbation_Sensitivity,2.6640685
german,carlini_l_2,nn_2,eval_Neighbour_Distance,0.4392946
german,carlini_l_inf,lr,eval_L1,0.00439962
german,carlini_l_inf,lr,eval_L2,0.0023107084
german,carlini_l_inf,lr,eval_Linf,0.0014266171
german,carlini_l_inf,lr,eval_MAD,0.00537556
german,carlini_l_inf,lr,eval_Mahalanobis,0.0005751122
german,carlini_l_inf,lr,eval_Sparsity,3.7552083
german,carlini_l_inf,lr,eval_Perturbation_Sensitivity,2.9239802
german,carlini_l_inf,lr,eval_Neighbour_Distance,0.0023107084
german,carlini_l_inf,svc,eval_L1,0.003128921
german,carlini_l_inf,svc,eval_L2,0.0016390609
german,carlini_l_inf,svc,eval_Linf,0.0010259587
german,carlini_l_inf,svc,eval_MAD,0.003806785
german,carlini_l_inf,svc,eval_Mahalanobis,0.00041407844
german,carlini_l_inf,svc,eval_Sparsity,3.75
german,carlini_l_inf,svc,eval_Perturbation_Sensitivity,2.9242861
german,carlini_l_inf,svc,eval_Neighbour_Distance,0.0016390609
german,carlini_l_inf,nn_2,eval_L1,0.0025874488
german,carlini_l_inf,nn_2,eval_L2,0.0014034258
german,carlini_l_inf,nn_2,eval_Linf,0.00089002907
german,carlini_l_inf,nn_2,eval_MAD,0.0032422182
german,carlini_l_inf,nn_2,eval_Mahalanobis,0.00034843627
german,carlini_l_inf,nn_2,eval_Sparsity,3.7447917
german,carlini_l_inf,nn_2,eval_Perturbation_Sensitivity,2.924372
german,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0014034258
